date,open,max,min,close,Negative,Neutral,Positive
2020/7/2 10:46,3050.05,3050.05,3048.95,3048.95,4,4,1
2020/7/2 10:47,3049.47,3049.99,3048.9,3049.35,4,4,3
2020/7/2 10:48,3050.29,3051.46,3049.85,3051.46,2,3,2
2020/7/2 10:49,3051.09,3052.15,3050.99,3050.99,4,6,5
2020/7/2 10:50,3050.64,3051.06,3050.02,3050.21,7,5,4
2020/7/2 10:51,3050.31,3050.31,3047.1,3047.1,9,4,3
2020/7/2 10:52,3046.79,3046.98,3045.06,3045.49,12,1,2
2020/7/2 10:53,3045.23,3045.24,3044.14,3044.37,10,6,4
2020/7/2 10:54,3044.6,3044.6,3043.39,3043.7,7,3,4
2020/7/2 10:55,3043.57,3045.15,3042.74,3045.15,5,2,3
2020/7/2 10:56,3044.51,3046.31,3044.51,3045.91,4,2,3
2020/7/2 10:57,3045.12,3046.61,3045.12,3046.35,4,4,4
2020/7/2 10:58,3045.92,3047.42,3045.92,3047.39,4,3,4
2020/7/2 10:59,3047.41,3047.9,3047.39,3047.8,3,5,2
2020/7/2 11:00,3047,3048.1,3047,3048.07,3,3,3
2020/7/2 11:01,3048.14,3048.96,3047.83,3048.93,5,4,7
2020/7/2 11:02,3049.33,3050.74,3049.33,3050.74,3,2,4
2020/7/2 11:03,3050.56,3051.56,3050.5,3051.56,2,5,3
2020/7/2 11:04,3051.18,3051.52,3050.69,3050.82,3,6,5
2020/7/2 11:05,3051.24,3051.26,3050.85,3050.86,3,6,2
2020/7/2 11:06,3051.07,3052.3,3050.67,3051.86,8,8,4
2020/7/2 11:07,3052.09,3052.41,3051.56,3052.41,1,5,4
2020/7/2 11:08,3052.32,3053.44,3051.9,3052.81,2,7,3
2020/7/2 11:09,3053.28,3054.81,3053.25,3054.48,4,5,7
2020/7/2 11:10,3054.49,3055.69,3054.49,3055.31,4,11,8
2020/7/2 11:11,3055.21,3055.21,3054.04,3054.18,2,5,6
2020/7/2 11:12,3053.67,3054.56,3053.67,3054.19,6,5,6
2020/7/2 11:13,3054.45,3054.45,3052.59,3052.88,6,4,2
2020/7/2 11:14,3052.87,3053.07,3052.49,3052.81,5,3,4
2020/7/2 11:15,3053.21,3053.73,3052.29,3053.73,1,2,1
2020/7/2 11:16,3053.78,3054.09,3053.48,3054.09,4,9,4
2020/7/2 11:17,3053.82,3055.01,3053.82,3054.74,7,11,4
2020/7/2 11:18,3055.1,3055.59,3054.69,3055.59,4,5,5
2020/7/2 11:19,3054.83,3056.54,3054.83,3056.07,3,4,4
2020/7/2 11:20,3056.14,3056.42,3055.45,3056.39,4,5,4
2020/7/2 11:21,3056.3,3056.99,3055.92,3056.7,5,7,3
2020/7/2 11:22,3056.59,3057.26,3056.44,3057.26,5,6,4
2020/7/2 11:23,3057.11,3057.63,3056.66,3057.63,5,4,4
2020/7/2 11:24,3057.38,3058.29,3057.38,3058.03,7,6,11
2020/7/2 11:25,3057.31,3057.83,3056.94,3057.43,3,3,6
2020/7/2 11:26,3057.56,3059.03,3057.56,3058.84,1,5,7
2020/7/2 11:27,3058.93,3060.66,3058.93,3060.66,7,6,1
2020/7/2 11:28,3059.92,3060.94,3059.91,3060.14,7,7,4
2020/7/2 11:29,3059.83,3060.54,3059.65,3059.78,5,3,4
2020/7/2 11:30,3060.09,3061.1,3059.84,3061.1,3,2,6
2020/7/2 13:01,3061.15,3065.15,3061.15,3065.15,1,3,3
2020/7/2 13:02,3065.07,3065.17,3063.88,3064.2,3,3,1
2020/7/2 13:03,3064.46,3065.51,3064.46,3064.9,2,1,1
2020/7/2 13:04,3064.91,3066.2,3064.91,3066,1,5,7
2020/7/2 13:05,3066.22,3067.77,3066.16,3067.77,4,3,2
2020/7/2 13:06,3068.1,3068.8,3066.46,3066.95,7,5,7
2020/7/2 13:07,3066.65,3066.68,3065.09,3065.35,4,6,3
2020/7/2 13:08,3065.29,3065.29,3062.71,3062.71,5,4,6
2020/7/2 13:09,3063.16,3063.47,3062.34,3063.34,6,4,2
2020/7/2 13:10,3063.73,3066.04,3063.73,3065.72,7,1,8
2020/7/2 13:11,3066.35,3066.86,3066.19,3066.26,11,4,3
2020/7/2 13:12,3066.7,3067.11,3066.22,3066.54,6,8,9
2020/7/2 13:13,3066.44,3067.04,3066.1,3067.04,4,3,3
2020/7/2 13:14,3066.35,3066.91,3066.27,3066.8,1,5,4
2020/7/2 13:15,3066.74,3066.92,3066.32,3066.92,3,4,2
2020/7/2 13:16,3066.87,3069.1,3066.87,3069.01,4,4,6
2020/7/2 13:17,3069.34,3072.44,3069.34,3072.44,6,7,6
2020/7/2 13:18,3072.42,3073.73,3072.42,3073.68,6,6,8
2020/7/2 13:19,3073.94,3074.18,3073.31,3073.82,7,5,5
2020/7/2 13:20,3074.1,3074.6,3074.07,3074.59,9,7,9
2020/7/2 13:21,3075.05,3075.52,3074.42,3074.42,4,6,10
2020/7/2 13:22,3074.38,3074.38,3072.8,3073.43,3,8,5
2020/7/2 13:23,3073.12,3073.12,3072.16,3072.51,9,5,12
2020/7/2 13:24,3072.12,3072.68,3071.95,3072.64,11,6,2
2020/7/2 13:25,3072.75,3074.87,3072.75,3074.5,6,5,5
2020/7/2 13:26,3074.44,3075.69,3074.44,3075.24,6,1,5
2020/7/2 13:27,3075.56,3076.19,3075.46,3075.8,5,6,7
2020/7/2 13:28,3076.2,3076.28,3075.6,3075.6,3,2,8
2020/7/2 13:29,3075.66,3076.19,3075.42,3076.19,7,2,5
2020/7/2 13:30,3075.94,3076.3,3074.67,3074.67,6,7,7
2020/7/2 13:31,3074.58,3074.58,3073.79,3073.79,8,6,6
2020/7/2 13:32,3073.93,3073.93,3071.19,3071.19,6,2,7
2020/7/2 13:33,3070.81,3070.81,3069.3,3069.55,12,2,4
2020/7/2 13:34,3069.36,3070.48,3069.36,3070.06,7,4,3
2020/7/2 13:35,3070.37,3070.81,3070.02,3070.02,6,10,4
2020/7/2 13:36,3069.82,3070.12,3068.96,3069.63,5,5,3
2020/7/2 13:37,3068.91,3068.91,3066.83,3066.83,7,3,6
2020/7/2 13:38,3066.96,3066.98,3066.07,3066.11,9,6,5
2020/7/2 13:39,3065.89,3066.35,3065.53,3065.76,9,5,4
2020/7/2 13:40,3065.51,3065.96,3064.93,3065.37,8,6,6
2020/7/2 13:41,3065.39,3066.37,3064.68,3066.37,5,4,1
2020/7/2 13:42,3066.3,3068.46,3066.3,3068.46,6,1,3
2020/7/2 13:43,3068.71,3069.09,3068.29,3069,4,7,1
2020/7/2 13:44,3068.6,3068.94,3067.85,3067.89,4,4,2
2020/7/2 13:45,3067.64,3068.44,3067.57,3068.28,6,3,1
2020/7/2 13:46,3067.7,3068.81,3067.7,3068.32,4,3,4
2020/7/2 13:47,3068.29,3070.31,3068.29,3070.31,6,2,4
2020/7/2 13:48,3070.65,3070.79,3069.49,3070.16,3,6,1
2020/7/2 13:49,3070,3070.51,3069.61,3070.41,3,8,3
2020/7/2 13:50,3070.96,3071.75,3070.43,3071.42,4,8,4
2020/7/2 13:51,3071.84,3072.49,3071.29,3072.18,5,1,2
2020/7/2 13:52,3072.13,3072.35,3071.54,3071.99,7,7,4
2020/7/2 13:53,3071.87,3072.63,3071.46,3071.79,4,2,4
2020/7/2 13:54,3071.96,3072.6,3071.41,3071.94,2,1,2
2020/7/2 13:55,3071.9,3071.98,3071.05,3071.75,5,2,4
2020/7/2 13:56,3071.47,3071.47,3069.96,3069.96,2,6,4
2020/7/2 13:57,3070.64,3070.64,3068.74,3069.21,7,3,3
2020/7/2 13:58,3068.61,3069.3,3068.54,3068.54,6,3,4
2020/7/2 13:59,3069.15,3069.25,3068.21,3068.88,4,5,4
2020/7/2 14:00,3069.75,3071.05,3069.75,3070.95,5,7,2
2020/7/2 14:01,3071.14,3071.14,3070.24,3070.48,4,3,3
2020/7/2 14:02,3070.5,3071.99,3070.48,3071.99,4,5,1
2020/7/2 14:03,3071.35,3072.14,3071.3,3071.54,1,3,2
2020/7/2 14:04,3071.66,3073.44,3071.31,3072.98,1,1,1
2020/7/2 14:05,3073.02,3073.19,3072.68,3073.19,6,6,4
2020/7/2 14:06,3072.91,3073.22,3072.55,3073.22,4,2,3
2020/7/2 14:07,3072.86,3074.61,3072.73,3074.36,3,5,5
2020/7/2 14:08,3074.97,3076.64,3074.47,3076.41,4,2,5
2020/7/2 14:09,3076.25,3078.49,3076.25,3078.49,5,2,1
2020/7/2 14:10,3078.1,3078.79,3077.82,3078.79,5,11,4
2020/7/2 14:11,3078.73,3078.73,3077.5,3077.5,5,4,8
2020/7/2 14:12,3077.2,3077.49,3076.58,3076.58,6,4,7
2020/7/2 14:13,3076.19,3077.18,3075.68,3076.75,6,6,3
2020/7/2 14:14,3076.57,3076.78,3075.03,3075.03,3,5,2
2020/7/2 14:15,3075.21,3075.7,3074.57,3075.37,5,7,6
2020/7/2 14:16,3074.96,3075.54,3074.4,3074.61,7,3,4
2020/7/2 14:17,3075.04,3076.42,3074.74,3075.65,5,6,7
2020/7/2 14:18,3075.97,3077.25,3075.96,3077.2,3,1,4
2020/7/2 14:19,3078.45,3079.42,3077.69,3079.42,6,7,5
2020/7/2 14:20,3079.8,3080.32,3078.92,3079.86,6,7,5
2020/7/2 14:21,3079.97,3080.5,3079.33,3079.33,4,4,2
2020/7/2 14:22,3078.97,3079.84,3078.89,3079.16,6,3,5
2020/7/2 14:23,3079.9,3080,3078.71,3079.38,3,4,8
2020/7/2 14:24,3079.17,3081.2,3079.17,3080.86,5,8,4
2020/7/2 14:25,3081.48,3082.74,3081.11,3082.74,6,3,9
2020/7/2 14:26,3082.82,3083.24,3082.1,3082.58,3,7,7
2020/7/2 14:27,3081.99,3082.92,3081.99,3082.77,7,9,5
2020/7/2 14:28,3082.82,3084.54,3082.82,3084.54,6,10,3
2020/7/2 14:29,3084.16,3086.38,3083.86,3085.78,9,8,10
2020/7/2 14:30,3086.8,3087.49,3086.09,3087.04,5,6,14
2020/7/2 14:31,3087.22,3087.52,3086.27,3086.27,6,9,5
2020/7/2 14:32,3086.54,3088.9,3086.54,3088.64,4,12,11
2020/7/2 14:33,3089.85,3090.26,3088.9,3088.9,9,9,17
2020/7/2 14:34,3089.42,3091.23,3089.15,3091.02,10,9,11
2020/7/2 14:35,3091.37,3091.75,3091.15,3091.44,7,11,9
2020/7/2 14:36,3091.83,3092.44,3091.28,3091.98,10,9,4
2020/7/2 14:37,3091.96,3092.08,3090.41,3090.41,6,12,12
2020/7/2 14:38,3090.49,3090.61,3089.02,3089.51,11,10,14
2020/7/2 14:39,3089.26,3089.46,3088.51,3088.86,6,7,7
2020/7/2 14:40,3089.13,3090.7,3088.86,3089.78,4,6,5
2020/7/2 14:41,3091.11,3091.11,3089.79,3090.82,4,5,5
2020/7/2 14:42,3090.82,3090.82,3089.75,3089.75,8,4,7
2020/7/2 14:43,3089.97,3090.11,3089.31,3089.44,3,6,8
2020/7/2 14:44,3089.65,3089.99,3089.01,3089.69,4,3,5
2020/7/2 14:45,3089.89,3089.89,3088.86,3088.98,8,4,5
2020/7/2 14:46,3088.67,3088.76,3088.04,3088.5,6,9,5
2020/7/2 14:47,3088.14,3088.14,3087.1,3087.7,3,4,4
2020/7/2 14:48,3087.4,3087.59,3087.06,3087.31,3,5,3
2020/7/2 14:49,3087.72,3087.72,3086.65,3086.65,3,5,1
2020/7/2 14:50,3087.08,3088.24,3086.64,3088,8,2,7
2020/7/2 14:51,3087.86,3088.75,3087.36,3088.75,3,6,5
2020/7/2 14:52,3089.42,3089.42,3088.33,3088.73,3,3,5
2020/7/2 14:53,3088.52,3088.89,3087.91,3088.21,7,7,8
2020/7/2 14:54,3088.35,3088.67,3087.76,3087.76,5,4,4
2020/7/2 14:55,3088.97,3088.97,3088.27,3088.78,6,4,2
2020/7/2 14:56,3088.87,3089.34,3088.46,3089.15,2,8,2
2020/7/2 14:57,3089.56,3090.66,3089.35,3090.25,1,3,4
2020/7/2 14:58,3089.75,3089.89,3089.75,3089.89,3,8,4
2020/7/2 14:59,3089.89,3089.89,3089.89,3089.89,3,6,3
2020/7/2 15:00,3090.48,3090.57,3090.48,3090.57,3,2,9
2020/7/3 9:31,3104,3111.29,3104,3110.47,3,5,2
2020/7/3 9:32,3110.25,3110.5,3108.11,3108.38,2,5,5
2020/7/3 9:33,3108.15,3112.64,3107.49,3112.64,4,9,5
2020/7/3 9:34,3113.26,3114.15,3112.7,3112.7,4,4,3
2020/7/3 9:35,3113.19,3116.81,3113.05,3116.36,8,7,4
2020/7/3 9:36,3116.55,3116.58,3114.6,3114.61,5,6,8
2020/7/3 9:37,3114.97,3116.89,3114.97,3116.57,7,4,3
